speciesid,spec_code,genus,species,f_bname,kingdom,phylum,class,order,family,v11,v12
Fis-23465,1028,Cheilopogon,furcatus,Spotfin flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,,
Fis-22215,6,Coryphaena,hippurus,Common dolphinfish,Animalia,Chordata,Actinopterygii,Perciformes,Coryphaenidae,,
Fis-29358,7,Coryphaena,equiselis,Pompano dolphinfish,Animalia,Chordata,Actinopterygii,Perciformes,Coryphaenidae,,
Fis-29291,40,Argyropelecus,affinis,Pacific hatchet fish,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,,
Fis-139729,46,Melanolagus,bericoides,Bigscale deepsea smelt,Animalia,Chordata,Actinopterygii,Osmeriformes,Bathylagidae,,
Fis-22735,89,Acanthocybium,solandri,Wahoo,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,,
Fis-29263,99,Alepisaurus,ferox,Long snouted lancetfish,Animalia,Chordata,Actinopterygii,Aulopiformes,Alepisauridae,,
Fis-29402,100,Gasterochisma,melampus,Butterfly kingfish,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,,
Fis-22777,107,Katsuwonus,pelamis,Skipjack tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,,
Fis-29290,130,Argyropelecus,aculeatus,Lovely hatchetfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,,
Fis-22832,142,Thunnus,alalunga,Albacore,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,,
Fis-22833,143,Thunnus,albacares,Yellowfin tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,,
Fis-22836,146,Thunnus,obesus,Bigeye tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,,
Fis-164254,217,Istiompax,indica,Black marlin,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,,
Fis-163398,223,Kajikia,audax,Striped marlin,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,,
Fis-29576,226,Xiphias,gladius,Swordfish,Animalia,Chordata,Actinopterygii,Perciformes,Xiphiidae,,
Fis-22856,249,Centrolophus,niger,Rudderfish,Animalia,Chordata,Actinopterygii,Perciformes,Centrolophidae,,
Fis-22935,364,Pomatomus,saltatrix,Bluefish,Animalia,Chordata,Actinopterygii,Perciformes,Pomatomidae,,
Fis-22852,391,Brama,brama,Atlantic pomfret,Animalia,Chordata,Actinopterygii,Perciformes,Bramidae,,
Fis-29427,616,Lampanyctus,alatus,Winged lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-23167,623,Lampanyctus,pusillus,Pygmy lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-23882,1012,Uraspis,secunda,Cottonmouth jack,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,,
Fis-23550,1035,Hirundichthys,rondeletii,Black wing flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,,
Fis-30041,1041,Gempylus,serpens,Snake mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Gempylidae,,
Fis-23580,1072,Lampris,guttatus,Opah,Animalia,Chordata,Actinopterygii,Lampriformes,Lampridae,,
Fis-47983,1267,Acropoma,japonicum,Glowbelly,Animalia,Chordata,Actinopterygii,Perciformes,Acropomatidae,,
Fis-29723,1699,Bathophilus,nigerrimus,Scaleless dragonfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-23484,1714,Electrona,risso,Electric lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-23556,1719,Hygophum,hygomii,Bermuda lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-23639,1732,Mola,mola,Ocean sunfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Molidae,,
Fis-23643,1734,Mora,moro,Common mora,Animalia,Chordata,Actinopterygii,Gadiformes,Moridae,,
Fis-23758,1750,Ranzania,laevis,Slender sunfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Molidae,,
Fis-30711,1772,Tetragonurus,cuvieri,Smalleye squaretail,Animalia,Chordata,Actinopterygii,Perciformes,Tetragonuridae,,
Fis-29880,1774,Cyclothone,braueri,Garrick,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,,
Fis-23454,1775,Cyclothone,microdon,Veiled anglemouth,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,,
Fis-23893,1776,Zu,cristatus,Scalloped ribbonfish,Animalia,Chordata,Actinopterygii,Lampriformes,Trachipteridae,,
Fis-23888,1780,Vinciguerria,attenuata,Slender lightfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Phosichthyidae,High,
Fis-29801,1786,Chauliodus,sloani,Sloane's viperfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-23604,1794,Lobianchia,dofleini,Dofleini's lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-23605,1795,Lobianchia,gemellarii,Cocco's lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-23502,1796,Evermannella,balbo,Balbo sabretooth,Animalia,Chordata,Actinopterygii,Aulopiformes,Evermannellidae,,
Fis-30075,1799,Gonostoma,denudatum,,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,,
Fis-23839,1806,Stomias,boa boa,Boa dragonfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-23905,2005,Antimora,rostrata,Blue antimora,Animalia,Chordata,Actinopterygii,Gadiformes,Moridae,,
Fis-29669,2082,Argyropelecus,gigas,Hatchetfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,,
Fis-64697,2292,Melanocetus,johnsonii,Humpback anglerfish,Animalia,Chordata,Actinopterygii,Lophiiformes,Melanocetidae,,
Fis-23904,2308,Anoplogaster,cornuta,Common fangtooth,Animalia,Chordata,Actinopterygii,Beryciformes,Anoplogastridae,,
Fis-29601,2728,Alepisaurus,brevirostris,Short snouted lancetfish,Animalia,Chordata,Actinopterygii,Aulopiformes,Alepisauridae,,
Fis-24154,2735,Notoscopelus,resplendens,Patchwork lampfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-29877,3098,Cryptopsaras,couesii,Triplewart seadevil,Animalia,Chordata,Actinopterygii,Lophiiformes,Ceratiidae,,
Fis-30110,3099,Himantolophus,groenlandicus,Atlantic footballfish,Animalia,Chordata,Actinopterygii,Lophiiformes,Himantolophidae,,
Fis-29738,3100,Bregmaceros,atlanticus,Antenna codlet,Animalia,Chordata,Actinopterygii,Gadiformes,Bregmacerotidae,,
Fis-30015,3156,Euleptorhamphus,viridis,Ribbon halfbeak,Animalia,Chordata,Actinopterygii,Beloniformes,Hemiramphidae,,
Fis-24609,3260,Eumecichthys,fiski,Unicorn crestfish,Animalia,Chordata,Actinopterygii,Lampriformes,Lophotidae,,
Fis-30248,3261,Lophotus,lacepede,Crested oarfish,Animalia,Chordata,Actinopterygii,Lampriformes,Lophotidae,,
Fis-24539,3263,Desmodema,polystictum,Polka-dot ribbonfish,Animalia,Chordata,Actinopterygii,Lampriformes,Trachipteridae,,
Fis-30575,3267,Regalecus,glesne,King of herrings,Animalia,Chordata,Actinopterygii,Lampriformes,Regalecidae,,
Fis-24762,3277,Macroramphosus,gracilis,Slender snipefish,Animalia,Chordata,Actinopterygii,Syngnathiformes,Centriscidae,,
Fis-24896,3544,Phtheirichthys,lineatus,Slender suckerfish,Animalia,Chordata,Actinopterygii,Perciformes,Echeneidae,,
Fis-24929,3545,Remora,australis,Whalesucker,Animalia,Chordata,Actinopterygii,Perciformes,Echeneidae,,
Fis-24930,3546,Remora,brachyptera,Spearfish remora,Animalia,Chordata,Actinopterygii,Perciformes,Echeneidae,,
Fis-24931,3547,Remora,osteochir,Marlin sucker,Animalia,Chordata,Actinopterygii,Perciformes,Echeneidae,,
Fis-7669,3548,Remora,albescens,White suckerfish,Animalia,Chordata,Actinopterygii,Perciformes,Echeneidae,,
Fis-30708,3559,Taractes,asper,Rough pomfret,Animalia,Chordata,Actinopterygii,Perciformes,Bramidae,,
Fis-30341,3907,Nealotus,tripes,Black snake mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Gempylidae,,
Fis-30712,3915,Tetrapturus,angustirostris,Shortbill spearfish,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,,
Fis-30523,3925,Psenes,cyanophrys,Freckled driftfish,Animalia,Chordata,Actinopterygii,Perciformes,Nomeidae,,
Fis-30919,4317,Rondeletia,loricata,Redmouth whalefish,Animalia,Chordata,Actinopterygii,Cetomimiformes,Rondeletiidae,,
Fis-25136,4468,Symbolophorus,evermanni,Evermann's lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-30985,4488,Myctophum,asperum,Prickly lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-30986,4489,Myctophum,aurolaternatum,Golden lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-25165,4520,Hygophum,reinhardtii,Reinhardt's lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-31001,4522,Hygophum,proximum,Firefly lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-31004,4526,Eurypharynx,pelecanoides,Pelican eel,Animalia,Chordata,Actinopterygii,Saccopharyngiformes,Eurypharyngidae,,
Fis-64476,4549,Omosudis,lowii,Omosudid,Animalia,Chordata,Actinopterygii,Aulopiformes,Omosudidae,,
Fis-25178,4553,Notolychnus,valdiviae,Topside lampfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-31020,4572,Ceratias,holboelli,Kroyer's deep-sea angler fish,Animalia,Chordata,Actinopterygii,Lophiiformes,Ceratiidae,,
Fis-31023,4577,Centrophryne,spinulosa,Horned lantern fish,Animalia,Chordata,Actinopterygii,Lophiiformes,Centrophrynidae,,
Fis-31074,4723,Scopelopsis,multipunctatus,Multispotted lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-53660,4953,Cyttopsis,rosea,Rosy dory,Animalia,Chordata,Actinopterygii,Zeiformes,Parazenidae,,
Fis-31164,4958,Diretmus,argenteus,Silver spinyfin,Animalia,Chordata,Actinopterygii,Beryciformes,Diretmidae,,
Fis-31210,5044,Astronesthes,niger,,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,Medium,
Fis-31214,5049,Cubiceps,pauciradiatus,Bigeye cigarfish,Animalia,Chordata,Actinopterygii,Perciformes,Nomeidae,,
Fis-58515,5052,Gonostoma,atlanticum,Atlantic fangjaw,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,,
Fis-31219,5056,Schedophilus,maculatus,Pelagic butterfish,Animalia,Chordata,Actinopterygii,Perciformes,Centrolophidae,,
Fis-25437,5064,Xenodermichthys,copei,Bluntsnout smooth-head,Animalia,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,,
Fis-25456,5099,Avocettina,infans,Avocet snipe eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Nemichthyidae,,
Fis-31237,5101,Ectreposebastes,imus,Midwater scorpionfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Setarchidae,,
Fis-31240,5116,Cyclothone,acclinidens,Benttooth bristlemouth,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,,
Fis-31241,5118,Melanonus,zugmayeri,Arrowtail,Animalia,Chordata,Actinopterygii,Gadiformes,Melanonidae,,
Fis-31242,5119,Scopelengys,tristis,Pacific blackchin,Animalia,Chordata,Actinopterygii,Myctophiformes,Neoscopelidae,,
Fis-31243,5123,Exocoetus,monocirrhus,Barbel flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,,
Fis-31244,5124,Prognichthys,sealei,Sailor flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,,
Fis-25477,5130,Borostomias,elucens,,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-26206,6589,Benthosema,suborbitale,Smallfin lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,High,
Fis-26352,6964,Rouleina,attrita,Softskin smooth-head,Animalia,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,,
Fis-32102,6966,Cyclothone,pallida,Tan bristlemouth,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,,
Fis-32103,6967,Cyclothone,pseudopallida,Slender bristlemouth,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,Medium,
Fis-32104,6968,Argyropelecus,hemigymnus,Half-naked hatchetfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,,
Fis-32105,6969,Sternoptyx,pseudodiaphana,False oblique hatchetfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,,
Fis-32106,6970,Idiacanthus,atlanticus,Black dragonfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-32108,6973,Trigonolampa,miriceps,Threelight dragonfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-136946,6977,Arctozenus,risso,Spotted barracudina,Animalia,Chordata,Actinopterygii,Aulopiformes,Paralepididae,,
Fis-26357,6981,Ceratoscopelus,warmingii,Warming's lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32113,6983,Diaphus,ostenfeldi,Ostenfeld's lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-139573,6999,Nannobrachium,atrum,Dusky lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-26373,7013,Taaningichthys,bathyphilus,Deepwater lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-60103,7147,Sio,nordenskjoldii,Nordenskjold's bigscale,Animalia,Chordata,Actinopterygii,Stephanoberyciformes,Melamphaidae,,
Fis-32330,7389,Sternoptyx,diaphana,Diaphanous hatchet fish,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,,
Fis-32332,7392,Argyropelecus,sladeni,Sladen's hatchet fish,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,,
Fis-32333,7394,Astronesthes,lucifer,Pacific astronesthid fish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-32334,7395,Melanostomias,valdiviae,Valdivia black dragon fish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,High,
Fis-32336,7397,Opisthoproctus,soleatus,Barrel-eye,Animalia,Chordata,Actinopterygii,Osmeriformes,Opisthoproctidae,,
Fis-26529,7406,Bolinichthys,longipes,Popeye lampfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-26531,7409,Diogenichthys,atlanticus,Longfin lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,High,
Fis-26532,7411,Lampadena,luminosa,Luminous lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32344,7413,Lampanyctus,nobilis,Noble lampfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32345,7414,Lampanyctus,steinbecki,Longfin lampfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32347,7416,Myctophum,obtusirostre,Bluntsnout lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-26533,7417,Notoscopelus,caudispinosus,Lobisomem,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32349,7420,Taaningichthys,paurolychnus,,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-26535,7421,Triphoturus,nigrescens,Highseas lampfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32350,7422,Neoscopelus,macrolepidotus,Large-scaled lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Neoscopelidae,,
Fis-26536,7423,Benthosema,fibulatum,Spinycheek lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32351,7425,Myctophum,selenops,Wisner's lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32355,7434,Diaphus,brachycephalus,Short-headed lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-26541,7436,Diaphus,perspicillatus,Transparent lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32357,7437,Diaphus,fragilis,Fragile lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-15811,7438,Diaphus,metopoclampus,Spothead lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32358,7439,Diaphus,phillipsi,Bolin's lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32360,7442,Bathypterois,atricolor,Attenuated spider fish,Animalia,Chordata,Actinopterygii,Aulopiformes,Ipnopidae,,
Fis-32361,7444,Gigantura,indica,Telescopefish,Animalia,Chordata,Actinopterygii,Aulopiformes,Giganturidae,,
Fis-64212,7477,Serrivomer,beanii,Stout sawpalate,Animalia,Chordata,Actinopterygii,Anguilliformes,Serrivomeridae,,
Fis-26569,7509,Cheilopogon,atrisignis,Glider flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,,
Fis-26644,7695,Cheilopogon,cyanopterus,Margined flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,,
Fis-26645,7696,Cheilopogon,nigricans,Blacksail flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,,
Fis-153269,7754,Scomberesox,simulans,Dwarf saury,Animalia,Chordata,Actinopterygii,Beloniformes,Scomberesocidae,,
Fis-32810,8397,Cubiceps,caeruleus,Blue fathead,Animalia,Chordata,Actinopterygii,Perciformes,Nomeidae,,
Fis-32814,8421,Bregmaceros,mcclellandi,Unicorn cod,Animalia,Chordata,Actinopterygii,Gadiformes,Bregmacerotidae,,
Fis-33095,8943,Acanthonus,armatus,Bony-eared assfish,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,,
Fis-33096,8950,Brotulotaenia,brevicauda,,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,,
Fis-33097,8951,Brotulotaenia,crassa,Violet cuskeel,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,,
Fis-33148,9040,Cetostoma,regani,Pink flabby whalefish,Animalia,Chordata,Actinopterygii,Cetomimiformes,Cetomimidae,,
Fis-27269,9042,Ditropichthys,storeri,,Animalia,Chordata,Actinopterygii,Cetomimiformes,Cetomimidae,,
Fis-27270,9043,Eutaeniophorus,festivus,Festive ribbonfish,Animalia,Chordata,Actinopterygii,Cetomimiformes,Cetomimidae,,
Fis-131546,9046,Acanthochaenus,luetkenii,Pricklefish,Animalia,Chordata,Actinopterygii,Stephanoberyciformes,Stephanoberycidae,,
Fis-27276,9057,Diretmichthys,parini,Parin's spinyfish,Animalia,Chordata,Actinopterygii,Beryciformes,Diretmidae,,
Fis-27299,9100,Nessorhamphus,ingolfianus,Duckbill oceanic eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Derichthyidae,,
Fis-33178,9103,Ilyophis,brunneus,Muddy arrowtooth eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Synaphobranchidae,,
Fis-33179,9104,Synaphobranchus,kaupii,Kaup's arrowtooth eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Synaphobranchidae,,
Fis-27301,9105,Avocettina,acuticeps,Southern snipe eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Nemichthyidae,,
Fis-27302,9107,Nemichthys,curvirostris,Boxer snipe eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Nemichthyidae,,
Fis-33181,9108,Cyema,atrum,Bobtail eel,Animalia,Chordata,Actinopterygii,Saccopharyngiformes,Cyematidae,,
Fis-33194,9124,Winteria,telescopa,Binocular fish,Animalia,Chordata,Actinopterygii,Osmeriformes,Opisthoproctidae,,
Fis-33203,9134,Grammicolepis,brachiusculus,Thorny tinselfish,Animalia,Chordata,Actinopterygii,Zeiformes,Grammicolepididae,,
Fis-27309,9144,Allocyttus,verrucosus,Warty dory,Animalia,Chordata,Actinopterygii,Zeiformes,Oreosomatidae,,
Fis-33219,9155,Ahliesaurus,berryi,,Animalia,Chordata,Actinopterygii,Aulopiformes,Notosudidae,,
Fis-33221,9157,Luciosudis,normani,Paperbones,Animalia,Chordata,Actinopterygii,Aulopiformes,Notosudidae,,
Fis-139727,9168,Dolicholagus,longirostris,Longsnout blacksmelt,Animalia,Chordata,Actinopterygii,Osmeriformes,Bathylagidae,,
Fis-33234,9174,Asquamiceps,caeruleus,,Animalia,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,,
Fis-27531,9888,Cubiceps,capensis,Cape fathead,Animalia,Chordata,Actinopterygii,Perciformes,Nomeidae,,
Fis-52356,9968,Cyclothone,alba,Bristlemouth,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,High,
Fis-33740,9983,Cyclothone,obscura,Hidden bristlemouth,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,,
Fis-33786,10151,Maulisia,mauli,Maul's searsid,Animalia,Chordata,Actinopterygii,Osmeriformes,Platytroctidae,,
Fis-27692,10154,Neonesthes,capensis,Cape snaggletooth,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-33790,10157,Malacosteus,niger,Stoplight loosejaw,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-27695,10163,Photonectes,braueri,Brauer's dragonfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-27696,10164,Phosichthys,argenteus,Silver lightfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Phosichthyidae,,
Fis-33797,10167,Stomias,affinis,Günther's boafish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-27697,10169,Lestrolepis,intermedia,,Animalia,Chordata,Actinopterygii,Aulopiformes,Paralepididae,,
Fis-33799,10170,Lestidium,atlanticum,Atlantic barracudina,Animalia,Chordata,Actinopterygii,Aulopiformes,Paralepididae,,
Fis-27700,10174,Diaphus,splendidus,Horned lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-33802,10176,Neoscopelus,microchir,Shortfin neoscopelid,Animalia,Chordata,Actinopterygii,Myctophiformes,Neoscopelidae,,
Fis-33803,10177,Odontomacrurus,murrayi,Roundhead grenadier,Animalia,Chordata,Actinopterygii,Gadiformes,Macrouridae,,
Fis-33812,10197,Cubiceps,baxteri,Black fathead,Animalia,Chordata,Actinopterygii,Perciformes,Nomeidae,,
Fis-27715,10207,Masturus,lanceolatus,Sharptail mola,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Molidae,,
Fis-33819,10211,Astronesthes,indicus,Black snaggletooth,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-33821,10214,Echiostoma,barbatum,Threadfin dragonfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-27728,10238,Benthosema,pterotum,Skinnycheek lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-27737,10259,Pollichthys,mauli,Stareye lightfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Phosichthyidae,,
Fis-33843,10261,Stomias,nebulosus,Alcock's boafish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-27739,10264,Diaphus,effulgens,Headlight fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-33845,10265,Diaphus,garmani,Garman's lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-27740,10266,Diaphus,lucidus,Spotlight lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-33846,10267,Diaphus,signatus,,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-139575,10269,Nannobrachium,lineatum,,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-27741,10272,Stemonosudis,elegans,Tailspot barracudina,Animalia,Chordata,Actinopterygii,Aulopiformes,Paralepididae,,
Fis-53495,10284,Scopelogadus,mizolepis,Ragged bigscale,Animalia,Chordata,Actinopterygii,Stephanoberyciformes,Melamphaidae,,
Fis-33860,10299,Psenes,arafurensis,Banded driftfish,Animalia,Chordata,Actinopterygii,Perciformes,Nomeidae,,
Fis-27752,10300,Atrophacanthus,japonicus,,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Triacanthodidae,,
Fis-27768,10325,Astronesthes,cyaneus,,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-27769,10327,Photonectes,albipennis,Whitepen dragonfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-27770,10329,Diaphus,coeruleus,Blue lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-115746,10357,Champsodon,nudivittis,,Animalia,Chordata,Actinopterygii,Perciformes,Champsodontidae,,
Fis-34027,10564,Bathylaco,nigricans,Black warrior,Animalia,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,,
Fis-27984,10888,Herwigia,kreffti,Krefft's smooth-head,Animalia,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,,
Fis-34206,10921,Photostylus,pycnopterus,Starry smooth-head,Animalia,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,,
Fis-34410,11229,Rouleina,maderensis,Madeiran smooth-head,Animalia,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,,
Fis-28109,11300,Barbantus,curvifrons,Palebelly searsid,Animalia,Chordata,Actinopterygii,Osmeriformes,Platytroctidae,,
Fis-34615,11456,Platytroctes,apus,Legless searsid,Animalia,Chordata,Actinopterygii,Osmeriformes,Platytroctidae,,
Fis-34762,11674,Margrethia,obtusirostra,Bighead portholefish,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,,
Fis-28170,11686,Valenciennellus,tripunctulatus,Constellationfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,,
Fis-34769,11687,Physiculus,roseus,Rosy cod,Animalia,Chordata,Actinopterygii,Gadiformes,Moridae,,
Fis-34776,11696,Astronesthes,gemmifer,,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-34782,11706,Heterophotus,ophistoma,Wingfin snaggletooth,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-28178,11710,Rhadinesthes,decimus,Slender snaggletooth,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-28184,11722,Bathophilus,digitatus,,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-28185,11724,Bathophilus,longipinnis,,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-34792,11726,Bathophilus,pawneei,Pawnee dragonfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-34798,11736,Eustomias,achirus,Proud dragonfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-34804,11743,Eustomias,dendriticus,,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
