speciesid,spec_code,genus,species,f_bname,kingdom,phylum,class,order,family,v11,v12
SLB-156460,130532,Armatobalanus,cepa,,Animalia,Arthropoda,Maxillopoda,Sessilia,Archaeobalanidae,,
Chn-c41e3e0e-fc12-46eb-a63e-e66e20ec713f,130612,Pyrgoma,cancellatum,,Animalia,Arthropoda,Maxillopoda,Sessilia,Pyrgomatidae,,
SLB-158010,131040,Munidopsis,dasypus,,Animalia,Arthropoda,Malacostraca,Decapoda,Galatheidae,,
SLB-158057,131066,Pachycheles,sculptus,porcelain crabs,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,,
W-Por-247850,138650,Callyspongia,aerizusa,,Animalia,Porifera,Demospongiae,Haplosclerida,Callyspongiidae,,
Chn-f41af29f-5e40-4cb4-8862-220e6e64b329,139355,Michelopagurus,limatulus,,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,,
W-Msc-394955,141318,Anguipecten,picturatus,,Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,,
SLB-184797,153181,Pentacheles,obscurus,,Animalia,Arthropoda,Malacostraca,Decapoda,Polychelidae,,
SLB-186085,153938,Acanthephyra,cucullata,,Animalia,Arthropoda,Malacostraca,Decapoda,Oplophoridae,,
SLB-187225,154404,Platylambrus,prensor,,Animalia,Arthropoda,Malacostraca,Decapoda,Parthenopidae,,
SLB-189552,155307,Alpheus,roseodigitalis,,Animalia,Arthropoda,Malacostraca,Decapoda,Alpheidae,,
SLB-189555,155310,Aniculus,erythraeus,hairy red hermit crab,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,,
W-Bch-208780,155336,Caphyra,unidentata,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,,
W-Bch-444085,155399,Cyclodius,granulosus,,Animalia,Arthropoda,Malacostraca,Decapoda,Xanthidae,,
W-Bch-444400,155419,Zozymodes,pumilus,,Animalia,Arthropoda,Malacostraca,Decapoda,Xanthidae,,
SLB-190040,155772,Forestiana,depressa,,Animalia,Arthropoda,Malacostraca,Decapoda,Xanthidae,,
SLB-190045,155776,Galathea,mauritiana,,Animalia,Arthropoda,Malacostraca,Decapoda,Galatheidae,,
W-Bch-209145,155811,Liocarpilodes,armiger,,Animalia,Arthropoda,Malacostraca,Decapoda,Xanthidae,,
W-Bch-444201,155833,Liomera,laevis,,Animalia,Arthropoda,Malacostraca,Decapoda,Xanthidae,,
W-Bch-209570,155933,Notosceles,chimmonis,,Animalia,Arthropoda,Malacostraca,Decapoda,Raninidae,,
W-Bch-210184,156037,Trapezia,speciosa,,Animalia,Arthropoda,Malacostraca,Decapoda,Trapeziidae,,
W-Bch-443857,156044,Tetralia,cinctipes,,Animalia,Arthropoda,Malacostraca,Decapoda,Trapeziidae,,
W-Bch-208872,156048,Thalamita,philippinensis,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,,
W-Bch-208856,156060,Thalamita,gracilipes,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,,
SLB-190476,156095,Sadayoshia,acroporae,,Animalia,Arthropoda,Malacostraca,Decapoda,Galatheidae,,
W-Bch-443882,156132,Trapezia,lutea,,Animalia,Arthropoda,Malacostraca,Decapoda,Trapeziidae,,
SLB-192974,162835,Zoanthus,sansibaricus,,Animalia,Cnidaria,Anthozoa,Zoanthidea,Zoanthidae,,
Kew-308091,163900,Halophila,stipulacea,broadleaf seagrass,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Hydrocharitaceae,,
SLB-160067,2381392,Pseudomaretia,alta,,Animalia,Echinodermata,Echinoidea,Spatangoida,Spatangidae,,
ITS-551529,13803,Bentheogennema,stephenseni,,Animalia,Arthropoda,Malacostraca,Decapoda,Benthesicymidae,,
ITS-551539,13813,Benthesicymus,urinator,,Animalia,Arthropoda,Malacostraca,Decapoda,Benthesicymidae,,
ITS-551516,14511,Aristeus,mabahissae,,Animalia,Arthropoda,Malacostraca,Decapoda,Aristeidae,,
ITS-552914,14774,Acanthacaris,tenuimana,prickly deep-sea lobster,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,,
ITS-551629,14864,Metapenaeopsis,quinquedentata,,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,,
ITS-564718,15147,Bouvieraxius,rudis,,Animalia,Arthropoda,Malacostraca,Decapoda,Axiidae,,
SLB-155280,18341,Kemponia,nilandensis,,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,,
ITS-659871,19110,Cinetorhynchus,hendersoni,Henderson hingebeak,Animalia,Arthropoda,Malacostraca,Decapoda,Rhynchocinetidae,,
ITS-612330,19225,Periclimenaeus,bidentatus,,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,,
ITS-677530,20119,Enoplometopus,holthuisi,bullseye reef lobster,Animalia,Arthropoda,Malacostraca,Decapoda,Enoplometopidae,,
ITS-659836,20703,Stenopus,pyrsonotus,flameback coral shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Stenopodidae,,
W-Bch-208799,21349,Portunus,macrophthalmus,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,,
SLB-12274,21362,Thalamita,dakini,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,,
W-Bch-207532,21497,Geograpsus,crinipes,,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,,
ITS-96024,25488,Haliporoides,triarthrus,knife shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Solenoceridae,,
ITS-96093,25526,Benthonectes,filipes,,Animalia,Arthropoda,Malacostraca,Decapoda,Benthesicymidae,,
ITS-97045,25913,Plesionika,williamsi,Guinea striped shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,,
ITS-99169,27274,Cloridopsis,dubia,,Animalia,Arthropoda,Malacostraca,Stomatopoda,Squillidae,,
SLB-192740,38256,Scyphoproctus,armatus,,Animalia,Annelida,Polychaeta,Not assigned,Capitellidae,,
W-Pol-327825,38967,Euniphysa,aculeata,,Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,,
W-Pol-209642,39075,Paralepidonotus,indicus,,Animalia,Annelida,Polychaeta,Aciculata,Polynoidae,,
W-Pol-327710,39517,Eunice,laticeps,,Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,,
W-Pol-332898,39885,Aglaophamus,lyrochaetus,,Animalia,Annelida,Polychaeta,Aciculata,Nephtyidae,,
URM-Cn-5996,45648,Stylophora,wellsi,,Animalia,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,,
URM-Cn-5949,45939,Pectinia,africanus,,Animalia,Cnidaria,Anthozoa,Scleractinia,Pectiniidae,,
URM-Cn-4932,46052,Montipora,solanderi,,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,,
URM-2-1836,53757,Oikopleura,longicauda,,Animalia,Chordata,Appendicularia,Copelata,Oikopleuridae,,
URM-2-2525,54217,Trididemnum,areolatum,,Animalia,Chordata,Ascidiacea,Enterogona,Didemnidae,,
URM-2-2721,54406,Ecteinascidia,thurstoni,,Animalia,Chordata,Ascidiacea,Enterogona,Perophoridae,,
URM-2-3159,54818,Ritterella,dispar,dispar ascidian,Animalia,Chordata,Ascidiacea,Enterogona,Polyclinidae,,
URM-2-3729,55370,Botryllus,gregalis,,Animalia,Chordata,Ascidiacea,Pleurogona,Styelidae,,
SLB-38799,55377,Botryllus,niger,,Animalia,Chordata,Ascidiacea,Pleurogona,Styelidae,,
URM-2-1147,56120,Pallenopsis,scoparia,,Animalia,Arthropoda,Pycnogonida,Pantopoda,Phoxichilidiidae,,
URM-2-43,56275,Achelia,nana,,Animalia,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,,
URM-2-143,56374,Ammothella,tippula,,Animalia,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,,
